timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618845956139,41,api/country,200,OK,Thread Group 1-10,text,true,,8954,596,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/country,41,0,0
1618845955610,568,Pelaporan_Production,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-10,,true,,198548,3565,1,1,null,353,3,52
1618845956614,196,api/login,200,OK,Thread Group 1-11,text,true,,1113,520,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/login,196,0,65
1618845956811,61,api/areas/district-city,200,OK,Thread Group 1-11,text,true,,1807,608,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/district-city,61,0,0
1618845956873,34,api/areas/sub-district/32.17,200,OK,Thread Group 1-11,text,true,,1938,613,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/sub-district/32.17,34,0,0
1618845956908,18,api/areas/village/32.17.09,200,OK,Thread Group 1-11,text,true,,1288,611,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/village/32.17.09,18,0,0
1618845956927,553,api/areas/hospital,200,OK,Thread Group 1-11,text,true,,183448,617,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/hospital?rs_jabar=true,17,0,0
1618845957481,18,api/country,200,OK,Thread Group 1-11,text,true,,8954,596,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/country,16,0,0
1618845956613,880,Pelaporan_Production,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-11,,true,,198548,3565,1,1,null,342,7,65
1618845957596,140,api/login,200,OK,Thread Group 1-12,text,true,,1113,520,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/login,140,0,52
1618845957737,17,api/areas/district-city,200,OK,Thread Group 1-12,text,true,,1807,608,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/district-city,17,0,0
1618845957754,16,api/areas/sub-district/32.17,200,OK,Thread Group 1-12,text,true,,1938,613,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/sub-district/32.17,16,0,0
1618845957771,16,api/areas/village/32.17.09,200,OK,Thread Group 1-12,text,true,,1288,611,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/village/32.17.09,16,0,0
1618845957788,144,api/areas/hospital,200,OK,Thread Group 1-12,text,true,,183448,617,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/hospital?rs_jabar=true,20,0,0
1618845957932,20,api/country,200,OK,Thread Group 1-12,text,true,,8954,596,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/country,19,0,0
1618845957595,353,Pelaporan_Production,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-12,,true,,198548,3565,1,1,null,228,4,52
1618845958610,121,api/login,200,OK,Thread Group 1-13,text,true,,1113,520,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/login,121,0,40
1618845958732,17,api/areas/district-city,200,OK,Thread Group 1-13,text,true,,1807,608,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/district-city,17,0,0
1618845958750,15,api/areas/sub-district/32.17,200,OK,Thread Group 1-13,text,true,,1938,613,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/sub-district/32.17,15,0,0
1618845958765,14,api/areas/village/32.17.09,200,OK,Thread Group 1-13,text,true,,1288,611,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/village/32.17.09,14,0,0
1618845958780,134,api/areas/hospital,200,OK,Thread Group 1-13,text,true,,183448,617,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/hospital?rs_jabar=true,19,0,0
1618845958915,18,api/country,200,OK,Thread Group 1-13,text,true,,8954,596,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/country,16,0,0
1618845958609,319,Pelaporan_Production,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-13,,true,,198548,3565,1,1,null,202,5,40
1618845959610,219,api/login,200,OK,Thread Group 1-14,text,true,,1113,520,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/login,219,0,85
1618845959829,16,api/areas/district-city,200,OK,Thread Group 1-14,text,true,,1807,608,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/district-city,16,0,0
1618845959846,24,api/areas/sub-district/32.17,200,OK,Thread Group 1-14,text,true,,1938,613,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/sub-district/32.17,24,0,0
1618845959870,16,api/areas/village/32.17.09,200,OK,Thread Group 1-14,text,true,,1288,611,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/village/32.17.09,16,0,0
1618845959887,209,api/areas/hospital,200,OK,Thread Group 1-14,text,true,,183448,617,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/hospital?rs_jabar=true,31,0,0
1618845960099,20,api/country,200,OK,Thread Group 1-14,text,true,,8954,596,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/country,19,0,0
1618845959609,504,Pelaporan_Production,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-14,,true,,198548,3565,1,1,null,325,7,85
1618845960611,197,api/login,200,OK,Thread Group 1-15,text,true,,1113,520,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/login,197,0,61
1618845960808,94,api/areas/district-city,200,OK,Thread Group 1-15,text,true,,1807,608,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/district-city,94,0,0
1618845960902,23,api/areas/sub-district/32.17,200,OK,Thread Group 1-15,text,true,,1938,613,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/sub-district/32.17,23,0,0
1618845960926,18,api/areas/village/32.17.09,200,OK,Thread Group 1-15,text,true,,1288,611,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/village/32.17.09,18,0,0
1618845960944,275,api/areas/hospital,200,OK,Thread Group 1-15,text,true,,183448,617,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/hospital?rs_jabar=true,19,0,0
1618845961220,24,api/country,200,OK,Thread Group 1-15,text,true,,8954,596,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/country,23,0,0
1618845960610,631,Pelaporan_Production,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-15,,true,,198548,3565,1,1,null,374,4,61
1618845961611,147,api/login,200,OK,Thread Group 1-16,text,true,,1113,520,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/login,147,0,57
1618845961759,20,api/areas/district-city,200,OK,Thread Group 1-16,text,true,,1807,608,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/district-city,20,0,0
1618845961780,44,api/areas/sub-district/32.17,200,OK,Thread Group 1-16,text,true,,1938,613,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/sub-district/32.17,44,0,0
1618845961824,15,api/areas/village/32.17.09,200,OK,Thread Group 1-16,text,true,,1288,611,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/village/32.17.09,15,0,0
1618845961840,146,api/areas/hospital,200,OK,Thread Group 1-16,text,true,,183448,617,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/hospital?rs_jabar=true,23,0,0
1618845961987,20,api/country,200,OK,Thread Group 1-16,text,true,,8954,596,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/country,20,0,0
1618845961610,392,Pelaporan_Production,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-16,,true,,198548,3565,1,1,null,269,6,57
1618845962658,180,api/login,200,OK,Thread Group 1-17,text,true,,1113,520,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/login,180,0,59
1618845962839,20,api/areas/district-city,200,OK,Thread Group 1-17,text,true,,1807,608,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/district-city,20,0,0
1618845962859,103,api/areas/sub-district/32.17,200,OK,Thread Group 1-17,text,true,,1938,613,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/sub-district/32.17,103,0,0
1618845962963,32,api/areas/village/32.17.09,200,OK,Thread Group 1-17,text,true,,1288,611,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/village/32.17.09,32,0,0
1618845962995,294,api/areas/hospital,200,OK,Thread Group 1-17,text,true,,183448,617,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/hospital?rs_jabar=true,23,0,0
1618845963290,30,api/country,200,OK,Thread Group 1-17,text,true,,8954,596,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/country,27,0,0
1618845962657,659,Pelaporan_Production,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-17,,true,,198548,3565,1,1,null,385,4,59
1618845963644,295,api/login,200,OK,Thread Group 1-18,text,true,,1113,520,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/login,295,0,125
1618845963939,24,api/areas/district-city,200,OK,Thread Group 1-18,text,true,,1807,608,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/district-city,24,0,0
1618845963963,22,api/areas/sub-district/32.17,200,OK,Thread Group 1-18,text,true,,1938,613,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/sub-district/32.17,22,0,0
1618845963986,19,api/areas/village/32.17.09,200,OK,Thread Group 1-18,text,true,,1288,611,1,1,https://api.pelaporan.pikobar.jabarprov.go.id/api/areas/village/32.17.09,19,0,0
